Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.5,neuron_change,0.2,"[58, 78]",2,784,10,4.93,92.69
100,2,1,10,tournament,3,single_point,0.5,neuron_change,0.2,[26],1,784,10,4.87,96.14
100,3,1,10,tournament,3,single_point,0.5,neuron_change,0.2,[26],1,784,10,4.86,97.2
100,4,1,10,tournament,3,single_point,0.5,neuron_change,0.2,[32],1,784,10,4.88,97.1
100,5,1,10,tournament,3,single_point,0.5,neuron_change,0.2,[118],1,784,10,4.85,97.27
