Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,2,single_point,0.5,structure_change,0.2,"[52, 83, 93]",3,784,10,5.22,93.15
100,2,1,10,tournament,2,single_point,0.5,structure_change,0.2,[94],1,784,10,4.95,96.41
100,3,1,10,tournament,2,single_point,0.5,structure_change,0.2,[94],1,784,10,4.93,96.86
100,4,1,10,tournament,2,single_point,0.5,structure_change,0.2,[94],1,784,10,4.91,97.31
100,5,1,10,tournament,2,single_point,0.5,structure_change,0.2,"[94, 108]",2,784,10,4.93,97.43
