Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,5,single_point,0.5,structure_change,0.2,[70],1,784,10,4.86,92.88
100,2,1,10,tournament,5,single_point,0.5,structure_change,0.2,[70],1,784,10,4.97,96.14
100,3,1,10,tournament,5,single_point,0.5,structure_change,0.2,"[70, 92]",2,784,10,5.04,96.87
100,4,1,10,tournament,5,single_point,0.5,structure_change,0.2,"[70, 92]",2,784,10,4.95,97.13
100,5,1,10,tournament,5,single_point,0.5,structure_change,0.2,[92],1,784,10,5.02,96.99
