Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,2,single_point,0.5,structure_change,0.2,"[42, 41, 94]",3,784,10,5.02,92.29
100,2,1,10,tournament,2,single_point,0.5,structure_change,0.2,"[37, 89]",2,784,10,5.06,95.61
100,3,1,10,tournament,2,single_point,0.5,structure_change,0.2,"[37, 23, 100, 42]",4,784,10,5.1,96.29
100,4,1,10,tournament,2,single_point,0.5,structure_change,0.2,"[37, 100]",2,784,10,5.24,96.88
100,5,1,10,tournament,2,single_point,0.5,structure_change,0.2,[37],1,784,10,5.07,96.84
