Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,7,single_point,0.5,structure_change,0.2,"[89, 81, 45]",3,784,10,5.09,92.99
100,2,1,10,tournament,7,single_point,0.5,structure_change,0.2,"[89, 110]",2,784,10,5.57,96.86
100,3,1,10,tournament,7,single_point,0.5,structure_change,0.2,"[89, 110]",2,784,10,5.16,97.11
100,4,1,10,tournament,7,single_point,0.5,structure_change,0.2,[110],1,784,10,5.2,97.36
100,5,1,10,tournament,7,single_point,0.5,structure_change,0.2,[110],1,784,10,5.12,97.1
