Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.7,structure_change,0.2,"[61, 48, 86]",3,784,10,5.01,92.9
100,2,1,10,tournament,3,single_point,0.7,structure_change,0.2,"[61, 39]",2,784,10,5.05,96.27
100,3,1,10,tournament,3,single_point,0.7,structure_change,0.2,"[61, 39, 44, 38]",4,784,10,5.2,96.9
100,4,1,10,tournament,3,single_point,0.7,structure_change,0.2,"[61, 39, 44, 38, 29]",5,784,10,5.06,97.16
100,5,1,10,tournament,3,single_point,0.7,structure_change,0.2,"[61, 39, 44, 38, 29, 24, 31]",7,784,10,5.0,97.15
