Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.5,structure_change,0.2,[91],1,784,10,4.89,91.96
100,2,1,10,tournament,3,single_point,0.5,structure_change,0.2,[39],1,784,10,4.96,95.08
100,3,1,10,tournament,3,single_point,0.5,structure_change,0.2,[105],1,784,10,4.88,96.92
100,4,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[105, 90]",2,784,10,4.95,97.3
100,5,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[90, 62, 123]",3,784,10,4.87,97.48
