Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.7,structure_change,0.2,"[75, 61]",2,784,10,4.96,92.4
100,2,1,10,tournament,3,single_point,0.7,structure_change,0.2,"[75, 61]",2,784,10,4.94,96.0
100,3,1,10,tournament,3,single_point,0.7,structure_change,0.2,"[72, 41]",2,784,10,4.97,96.6
100,4,1,10,tournament,3,single_point,0.7,structure_change,0.2,"[72, 92]",2,784,10,4.95,97.23
100,5,1,10,tournament,3,single_point,0.7,structure_change,0.2,"[72, 121]",2,784,10,4.91,97.31
