Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.5,structure_change,0.5,[92],1,784,10,4.92,93.2
100,2,1,10,tournament,3,single_point,0.5,structure_change,0.5,"[92, 78]",2,784,10,4.87,96.21
100,3,1,10,tournament,3,single_point,0.5,structure_change,0.5,"[52, 70]",2,784,10,4.95,97.38
100,4,1,10,tournament,3,single_point,0.5,structure_change,0.5,"[52, 70, 24, 108, 122]",5,784,10,4.89,97.46
100,5,1,10,tournament,3,single_point,0.5,structure_change,0.5,"[52, 122, 61, 122]",4,784,10,5.08,97.31
