Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.5,structure_change,0.05,"[84, 58]",2,784,10,5.0,92.85
100,2,1,10,tournament,3,single_point,0.5,structure_change,0.05,"[84, 58, 62]",3,784,10,4.97,95.97
100,3,1,10,tournament,3,single_point,0.5,structure_change,0.05,"[84, 58]",2,784,10,4.98,97.27
100,4,1,10,tournament,3,single_point,0.5,structure_change,0.05,"[84, 58]",2,784,10,4.99,96.58
100,5,1,10,tournament,3,single_point,0.5,structure_change,0.05,"[84, 58, 45]",3,784,10,5.04,97.26
