Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.5,structure_change,0.5,"[67, 85, 94]",3,784,10,5.36,93.65
100,2,1,10,tournament,3,single_point,0.5,structure_change,0.5,"[85, 30]",2,784,10,5.11,96.31
100,3,1,10,tournament,3,single_point,0.5,structure_change,0.5,"[85, 61, 29]",3,784,10,5.13,97.36
100,4,1,10,tournament,3,single_point,0.5,structure_change,0.5,"[85, 60]",2,784,10,5.12,96.63
100,5,1,10,tournament,3,single_point,0.5,structure_change,0.5,"[52, 61]",2,784,10,5.13,97.15
