Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[74, 96]",2,784,10,4.93,93.11
100,2,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[74, 96]",2,784,10,4.99,96.74
100,3,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[74, 96]",2,784,10,5.01,97.43
100,4,1,10,tournament,3,single_point,0.5,structure_change,0.2,[96],1,784,10,4.98,97.6
100,5,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[96, 102]",2,784,10,4.98,97.51
