Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,unified,0.5,structure_change,0.2,"[75, 98, 25]",3,784,10,5.01,93.0
100,2,1,10,tournament,3,unified,0.5,structure_change,0.2,"[86, 107]",2,784,10,4.82,96.87
100,3,1,10,tournament,3,unified,0.5,structure_change,0.2,"[107, 16]",2,784,10,4.83,96.93
100,4,1,10,tournament,3,unified,0.5,structure_change,0.2,"[107, 16, 93, 80]",4,784,10,4.87,97.11
100,5,1,10,tournament,3,unified,0.5,structure_change,0.2,"[107, 16, 93, 80]",4,784,10,4.92,97.18
