Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[83, 77]",2,784,10,4.96,93.14
100,2,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[83, 77, 44, 107]",4,784,10,4.97,96.91
100,3,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[83, 44, 107, 24]",4,784,10,4.98,97.45
100,4,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[83, 44, 107, 24, 66]",5,784,10,5.15,97.05
100,5,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[83, 44, 107, 24]",4,784,10,4.99,97.4
