Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[95, 53]",2,784,10,5.02,93.44
100,2,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[95, 53, 63]",3,784,10,4.98,97.07
100,3,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[53, 63]",2,784,10,4.97,97.14
100,4,1,10,tournament,3,single_point,0.5,structure_change,0.2,[53],1,784,10,5.01,97.51
100,5,1,10,tournament,3,single_point,0.5,structure_change,0.2,[53],1,784,10,5.01,97.48
