Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,unified,0.5,structure_change,0.2,"[62, 52, 26]",3,784,10,5.03,92.7
100,2,1,10,tournament,3,unified,0.5,structure_change,0.2,"[62, 52, 26]",3,784,10,5.01,96.68
100,3,1,10,tournament,3,unified,0.5,structure_change,0.2,"[62, 26, 30]",3,784,10,5.1,96.85
100,4,1,10,tournament,3,unified,0.5,structure_change,0.2,[30],1,784,10,5.24,97.18
100,5,1,10,tournament,3,unified,0.5,structure_change,0.2,"[30, 83]",2,784,10,5.01,97.07
