Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[93, 87, 97]",3,784,10,5.11,93.31
100,2,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[91, 38, 27]",3,784,10,5.0,96.39
100,3,1,10,tournament,3,single_point,0.5,structure_change,0.2,[38],1,784,10,4.98,97.33
100,4,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[38, 52, 88, 20]",4,784,10,5.02,97.44
100,5,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[38, 52, 88, 111]",4,784,10,5.0,97.32
