Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,roulette,3,single_point,0.5,structure_change,0.2,[93],1,784,10,4.94,93.38
100,2,1,10,roulette,3,single_point,0.5,structure_change,0.2,[93],1,784,10,4.88,96.4
100,3,1,10,roulette,3,single_point,0.5,structure_change,0.2,[93],1,784,10,4.91,96.9
100,4,1,10,roulette,3,single_point,0.5,structure_change,0.2,[93],1,784,10,4.9,96.91
100,5,1,10,roulette,3,single_point,0.5,structure_change,0.2,"[93, 29]",2,784,10,4.9,97.21
