Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,roulette,3,single_point,0.5,structure_change,0.2,[84],1,784,10,4.84,92.71
100,2,1,10,roulette,3,single_point,0.5,structure_change,0.2,"[61, 47, 80]",3,784,10,5.06,96.24
100,3,1,10,roulette,3,single_point,0.5,structure_change,0.2,"[61, 46, 29, 84]",4,784,10,5.02,96.95
100,4,1,10,roulette,3,single_point,0.5,structure_change,0.2,"[61, 58, 29]",3,784,10,5.04,97.31
100,5,1,10,roulette,3,single_point,0.5,structure_change,0.2,"[61, 58, 35, 84, 71]",5,784,10,5.01,97.34
