Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,3,10,tournament,3,single_point,0.5,structure_change,0.2,[96],1,784,10,14.75,96.19
100,2,3,10,tournament,3,single_point,0.5,structure_change,0.2,"[96, 85]",2,784,10,14.6,97.4
100,3,3,10,tournament,3,single_point,0.5,structure_change,0.2,"[96, 85, 24]",3,784,10,14.73,97.26
100,4,3,10,tournament,3,single_point,0.5,structure_change,0.2,"[24, 115]",2,784,10,14.62,97.26
100,5,3,10,tournament,3,single_point,0.5,structure_change,0.2,"[24, 65, 120]",3,784,10,14.64,97.63
