Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[95, 85]",2,784,10,4.97,93.37
100,2,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[94, 42]",2,784,10,4.88,96.36
100,3,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[94, 42, 52]",3,784,10,4.88,96.87
100,4,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[94, 42, 52, 60]",4,784,10,4.92,97.27
100,5,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[94, 42, 52, 60, 84, 82]",6,784,10,4.89,96.97
