Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[84, 58, 85]",3,784,10,5.07,92.03
100,2,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[84, 89]",2,784,10,5.09,96.32
100,3,1,10,tournament,3,single_point,0.5,structure_change,0.2,[84],1,784,10,5.11,96.89
100,4,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[84, 89, 36]",3,784,10,5.32,97.55
100,5,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[84, 89, 36, 70]",4,784,10,5.09,97.42
