Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,20,tournament,3,single_point,0.5,structure_change,0.2,[85],1,784,10,4.86,93.14
100,2,1,20,tournament,3,single_point,0.5,structure_change,0.2,[85],1,784,10,4.9,97.05
100,3,1,20,tournament,3,single_point,0.5,structure_change,0.2,"[85, 39, 23]",3,784,10,4.93,97.32
100,4,1,20,tournament,3,single_point,0.5,structure_change,0.2,"[85, 39, 23, 16]",4,784,10,4.96,97.28
100,5,1,20,tournament,3,single_point,0.5,structure_change,0.2,"[85, 39, 23, 44, 20]",5,784,10,4.95,97.14
