Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.5,structure_change,0.2,[78],1,784,10,4.88,93.17
100,2,1,10,tournament,3,single_point,0.5,structure_change,0.2,[78],1,784,10,4.89,96.46
100,3,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[78, 128]",2,784,10,4.83,96.75
100,4,1,10,tournament,3,single_point,0.5,structure_change,0.2,[128],1,784,10,5.11,97.31
100,5,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[128, 45]",2,784,10,4.83,97.25
