Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,5,tournament,3,single_point,0.5,structure_change,0.2,"[85, 68]",2,784,10,4.98,92.9
100,2,1,5,tournament,3,single_point,0.5,structure_change,0.2,"[85, 20]",2,784,10,5.37,96.54
100,3,1,5,tournament,3,single_point,0.5,structure_change,0.2,[106],1,784,10,4.93,96.8
100,4,1,5,tournament,3,single_point,0.5,structure_change,0.2,"[106, 70]",2,784,10,4.99,97.21
100,5,1,5,tournament,3,single_point,0.5,structure_change,0.2,"[106, 70]",2,784,10,4.91,97.36
