Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[83, 91]",2,784,10,4.97,92.55
100,2,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[99, 88]",2,784,10,5.05,96.22
100,3,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[99, 27]",2,784,10,5.04,97.29
100,4,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[99, 27]",2,784,10,5.02,97.08
100,5,1,10,tournament,3,single_point,0.5,structure_change,0.2,"[99, 27]",2,784,10,5.07,97.58
