Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,20,tournament,3,single_point,0.5,structure_change,0.2,"[93, 93, 54]",3,784,10,5.07,93.52
100,2,1,20,tournament,3,single_point,0.5,structure_change,0.2,"[96, 36]",2,784,10,4.86,96.33
100,3,1,20,tournament,3,single_point,0.5,structure_change,0.2,"[96, 126]",2,784,10,4.89,97.08
100,4,1,20,tournament,3,single_point,0.5,structure_change,0.2,"[96, 121]",2,784,10,4.93,97.04
100,5,1,20,tournament,3,single_point,0.5,structure_change,0.2,[47],1,784,10,4.9,97.39
