Max fitness Count,Generation Number,Epochs,Population Size,Selection Type,Tournament Size,Crossover Type,Crossover Probability,Mutation Type,Mutation Probability,Structure,Number of Layers,Input Layer,Output Layer,Train Time,Accuracy
100,1,1,5,tournament,3,single_point,0.5,structure_change,0.2,[73],1,784,10,4.82,93.01
100,2,1,5,tournament,3,single_point,0.5,structure_change,0.2,[73],1,784,10,4.83,96.32
100,3,1,5,tournament,3,single_point,0.5,structure_change,0.2,"[73, 124]",2,784,10,4.84,96.83
100,4,1,5,tournament,3,single_point,0.5,structure_change,0.2,"[73, 124]",2,784,10,4.8,97.21
100,5,1,5,tournament,3,single_point,0.5,structure_change,0.2,"[73, 124]",2,784,10,4.88,96.63
